,hhs_care_forecast
2025-12-22,2474.709607785876
2025-12-23,2449.1714421501983
2025-12-24,2420.7447223582667
2025-12-25,2400.148723931106
2025-12-26,2405.186928372636
2025-12-27,2420.951832315207
2025-12-28,2433.594750834863
2025-12-29,2423.385027714405
2025-12-30,2397.846862078727
2025-12-31,2369.420142286796
2026-01-01,2348.824143859635
2026-01-02,2353.8623483011647
2026-01-03,2369.627252243736
2026-01-04,2382.270170763392
2026-01-05,2372.0604476429344
2026-01-06,2346.5222820072563
2026-01-07,2318.0955622153247
2026-01-08,2297.4995637881643
2026-01-09,2302.537768229694
2026-01-10,2318.302672172265
2026-01-11,2330.945590691921
2026-01-12,2320.735867571463
2026-01-13,2295.1977019357855
2026-01-14,2266.770982143854
2026-01-15,2246.174983716693
2026-01-16,2251.213188158223
2026-01-17,2266.978092100794
2026-01-18,2279.62101062045
2026-01-19,2269.4112874999923
2026-01-20,2243.8731218643143
